invoice_month_start,country,revenue,orders,customers,quantity
2010-12-01,United Kingdom,748268.98,1447,815,314160
2010-12-01,Germany,15241.14,30,18,6877
2010-12-01,EIRE,10033.26,17,3,5770
2010-12-01,France,9616.31,21,15,4989
2010-12-01,Netherlands,8784.48,3,2,6811
2010-12-01,Japan,7705.07,3,3,4093
2010-12-01,Sweden,3834.3,2,1,3954
2010-12-01,Norway,3787.12,2,1,3582
2010-12-01,Portugal,2439.9700000000003,6,6,984
2010-12-01,Spain,1843.73,4,4,867
2010-12-01,Belgium,1809.91,5,4,1755
2010-12-01,Lithuania,1661.06,4,1,652
2010-12-01,Cyprus,1590.82,1,1,917
2010-12-01,Switzerland,1304.92,2,2,714
2010-12-01,Denmark,1281.5,1,1,454
2010-12-01,Australia,1032.8500000000001,3,2,467
2010-12-01,Finland,892.8,1,1,1254
2010-12-01,Italy,811.5,2,2,295
2010-12-01,Iceland,711.79,1,1,319
2010-12-01,Channel Islands,363.53,1,1,80
2010-12-01,Austria,277.2,1,1,51
2010-12-01,Poland,248.16,1,1,140
2010-12-01,Bahrain,205.74,1,0,54
2011-01-01,United Kingdom,561289.98,971,647,315717
2011-01-01,Netherlands,26611.16,5,2,20417
2011-01-01,EIRE,21904.19,7,2,8794
2011-01-01,France,17740.12,29,24,9199
2011-01-01,Germany,16910.84,31,28,9077
2011-01-01,Spain,10086.09,8,7,3845
2011-01-01,Australia,9017.710000000001,9,7,5644
2011-01-01,Switzerland,4231.23,3,3,2993
2011-01-01,Portugal,4055.71,4,4,2094
2011-01-01,Sweden,3486.3199999999997,2,2,3097
2011-01-01,Greece,2661.24,1,1,526
2011-01-01,Hong Kong,2439.76,1,0,1121
2011-01-01,Italy,2402.51,3,3,1121
2011-01-01,Singapore,2053.07,1,1,1091
2011-01-01,Lebanon,1693.88,1,1,386
2011-01-01,Belgium,1200.2,3,3,792
2011-01-01,Finland,889.02,2,2,765
2011-01-01,Channel Islands,675.58,1,1,259
2011-01-01,Poland,613.22,1,1,288
2011-01-01,Cyprus,547.5,1,1,144
2011-01-01,Iceland,475.39,1,1,315
2011-01-01,Israel,379.84000000000003,1,0,100
2011-02-01,United Kingdom,430027.95,995,679,230269
2011-02-01,Netherlands,23011.91,5,2,16387
2011-02-01,Australia,14695.42,5,4,8680
2011-02-01,EIRE,12248.74,13,2,6004
2011-02-01,Germany,9581.05,19,17,4245
2011-02-01,France,8515.960000000001,21,17,5340
2011-02-01,Japan,5780.8099999999995,2,2,2999
2011-02-01,Cyprus,4334.24,6,4,2191
2011-02-01,Switzerland,2654.92,5,4,1107
2011-02-01,Belgium,2181.07,8,7,1102
2011-02-01,Spain,2114.5,4,4,870
2011-02-01,Channel Islands,1784.71,1,1,935
2011-02-01,Portugal,1213.9,2,2,558
2011-02-01,United Arab Emirates,889.24,1,1,496
