invoice_month_start,country,product_category,return_amount,return_orders,return_units
2010-12-01,United Kingdom,Fees & Adjustments,57163.26,27,32
2010-12-01,United Kingdom,Home Decor & Lighting,4847.06,124,11410
2010-12-01,United Kingdom,Kitchen & Dining,2483.87,96,723
2010-12-01,United Kingdom,Holiday & Seasonal,2256.33,40,1098
2010-12-01,United Kingdom,Storage & Organization,2190.55,57,709
2010-12-01,United Kingdom,Miscellaneous,1715.04,122,4711
2010-12-01,Sweden,Storage & Organization,1188.0,1,240
2010-12-01,EIRE,Home Decor & Lighting,325.2,4,78
2010-12-01,United Kingdom,Party & Gift,318.51,5,199
2010-12-01,United Kingdom,Stationery & Crafts,298.09000000000003,15,171
2010-12-01,EIRE,Holiday & Seasonal,295.41,3,203
2010-12-01,Germany,Kitchen & Dining,272.9,5,38
2010-12-01,EIRE,Kitchen & Dining,169.95000000000002,2,71
2010-12-01,United Kingdom,Garden & Outdoor,169.85,7,46
2010-12-01,EIRE,Garden & Outdoor,142.8,1,24
2010-12-01,Israel,Kitchen & Dining,136.0,1,32
2010-12-01,Germany,Storage & Organization,112.6,5,42
2010-12-01,Germany,Toys & Kids,100.3,4,12
2010-12-01,Israel,Storage & Organization,91.44,1,24
2010-12-01,Germany,Miscellaneous,81.65,4,29
2010-12-01,United Kingdom,Accessories & Fashion,49.05,8,21
2010-12-01,Germany,Holiday & Seasonal,43.6,2,16
2010-12-01,Germany,Home Decor & Lighting,39.349999999999994,5,11
2010-12-01,United Kingdom,Toys & Kids,34.75,3,5
2010-12-01,EIRE,Accessories & Fashion,29.75,1,7
2010-12-01,Australia,Storage & Organization,27.75,1,13
2010-12-01,EIRE,Storage & Organization,25.200000000000003,1,12
2010-12-01,Austria,Party & Gift,20.16,1,48
2010-12-01,France,Toys & Kids,19.9,1,2
2010-12-01,Germany,Fees & Adjustments,18.0,1,1
2010-12-01,Italy,Home Decor & Lighting,17.0,1,2
2010-12-01,EIRE,Miscellaneous,15.0,1,4
2010-12-01,Portugal,Kitchen & Dining,15.0,1,12
2010-12-01,Portugal,Miscellaneous,15.0,1,12
2010-12-01,Portugal,Stationery & Crafts,15.0,1,12
2010-12-01,Portugal,Storage & Organization,14.85,1,3
2010-12-01,France,Storage & Organization,12.750000000000002,2,5
2010-12-01,Germany,Stationery & Crafts,9.9,1,6
2010-12-01,France,Home Decor & Lighting,4.949999999999999,1,3
2010-12-01,France,Party & Gift,3.35,1,1
2011-01-01,United Kingdom,Kitchen & Dining,80503.3,102,75026
2011-01-01,United Kingdom,Fees & Adjustments,36852.15,15,74
2011-01-01,United Kingdom,Home Decor & Lighting,2975.25,103,1349
2011-01-01,United Kingdom,Storage & Organization,2845.59,57,956
2011-01-01,Spain,Fees & Adjustments,2841.85,2,2
2011-01-01,United Kingdom,Miscellaneous,2007.85,136,9836
2011-01-01,United Kingdom,Stationery & Crafts,683.4300000000001,11,590
2011-01-01,United Kingdom,Holiday & Seasonal,646.0,19,231
2011-01-01,United Kingdom,Garden & Outdoor,310.84,13,128
2011-01-01,Germany,Kitchen & Dining,248.69,7,63
2011-01-01,Bahrain,Home Decor & Lighting,205.74,1,54
2011-01-01,France,Kitchen & Dining,125.9,5,14
2011-01-01,Japan,Storage & Organization,106.05,1,42
2011-01-01,United Kingdom,Accessories & Fashion,100.95,4,45
2011-01-01,EIRE,Home Decor & Lighting,81.55,1,35
2011-01-01,Germany,Home Decor & Lighting,75.35,5,41
2011-01-01,Spain,Kitchen & Dining,65.69999999999999,1,6
2011-01-01,France,Fees & Adjustments,54.0,1,3
2011-01-01,Germany,Storage & Organization,53.599999999999994,3,16
2011-01-01,EIRE,Holiday & Seasonal,52.94,1,30
2011-01-01,EIRE,Fees & Adjustments,50.0,1,1
2011-01-01,Portugal,Kitchen & Dining,45.0,1,12
2011-01-01,Sweden,Fees & Adjustments,40.0,1,1
2011-01-01,United Kingdom,Toys & Kids,38.8,5,16
2011-01-01,Germany,Miscellaneous,33.120000000000005,4,19
2011-01-01,Channel Islands,Home Decor & Lighting,30.5,1,4
2011-01-01,Germany,Garden & Outdoor,28.7,2,2
2011-01-01,France,Storage & Organization,28.200000000000003,2,16
2011-01-01,EIRE,Garden & Outdoor,23.4,1,12
2011-01-01,Belgium,Miscellaneous,19.05,1,3
2011-01-01,France,Home Decor & Lighting,19.0,2,10
2011-01-01,EIRE,Kitchen & Dining,17.700000000000003,1,6
2011-01-01,United Kingdom,Party & Gift,17.52,4,16
2011-01-01,Italy,Storage & Organization,17.15,1,11
2011-01-01,Belgium,Home Decor & Lighting,15.849999999999998,2,3
2011-01-01,EIRE,Miscellaneous,15.0,1,4
2011-01-01,Belgium,Storage & Organization,11.25,1,3
2011-01-01,Italy,Stationery & Crafts,11.25,1,9
2011-01-01,Germany,Toys & Kids,10.08,1,24
2011-01-01,France,Toys & Kids,9.95,1,1
