invoice_month_start,country,product_category,customer_order_type,revenue,orders,quantity,active_customers
2010-12-01,Australia,Accessories & Fashion,New,53.550000000000004,1,9,1
2010-12-01,Australia,Garden & Outdoor,New,71.4,1,12,1
2010-12-01,Australia,Holiday & Seasonal,New,51.0,1,6,1
2010-12-01,Australia,Home Decor & Lighting,New,363.0,2,126,1
2010-12-01,Australia,Kitchen & Dining,New,190.7,2,170,2
2010-12-01,Australia,Miscellaneous,New,97.7,1,18,1
2010-12-01,Australia,Party & Gift,New,40.2,2,36,2
2010-12-01,Australia,Stationery & Crafts,New,15.0,1,12,1
2010-12-01,Australia,Storage & Organization,New,120.30000000000001,2,54,2
2010-12-01,Australia,Toys & Kids,New,30.0,1,24,1
2010-12-01,Austria,Fees & Adjustments,New,120.0,1,3,1
2010-12-01,Austria,Home Decor & Lighting,New,15.0,1,4,1
2010-12-01,Austria,Kitchen & Dining,New,125.2,1,40,1
2010-12-01,Austria,Storage & Organization,New,17.0,1,4,1
2010-12-01,Bahrain,Home Decor & Lighting,Unknown,205.74,1,54,0
2010-12-01,Belgium,Fees & Adjustments,New,210.0,5,13,4
2010-12-01,Belgium,Holiday & Seasonal,New,30.299999999999997,2,14,2
2010-12-01,Belgium,Home Decor & Lighting,New,438.52,5,324,4
2010-12-01,Belgium,Kitchen & Dining,New,122.4,2,80,2
2010-12-01,Belgium,Miscellaneous,New,175.76,4,222,4
2010-12-01,Belgium,Party & Gift,New,33.620000000000005,2,14,2
2010-12-01,Belgium,Stationery & Crafts,New,207.66,4,314,4
2010-12-01,Belgium,Storage & Organization,New,546.29,4,714,3
2010-12-01,Belgium,Toys & Kids,New,45.36,2,60,2
2010-12-01,Channel Islands,Fees & Adjustments,New,50.0,1,1,1
2010-12-01,Channel Islands,Home Decor & Lighting,New,130.53,1,27,1
2010-12-01,Channel Islands,Kitchen & Dining,New,14.85,1,3,1
2010-12-01,Channel Islands,Miscellaneous,New,123.14999999999999,1,21,1
2010-12-01,Channel Islands,Party & Gift,New,15.0,1,4,1
2010-12-01,Channel Islands,Storage & Organization,New,30.0,1,24,1
2010-12-01,Cyprus,Accessories & Fashion,New,30.6,1,36,1
2010-12-01,Cyprus,Garden & Outdoor,New,5.5,1,2,1
2010-12-01,Cyprus,Holiday & Seasonal,New,58.95,1,25,1
2010-12-01,Cyprus,Home Decor & Lighting,New,751.15,1,487,1
2010-12-01,Cyprus,Kitchen & Dining,New,75.6,1,40,1
2010-12-01,Cyprus,Miscellaneous,New,433.06,1,208,1
2010-12-01,Cyprus,Party & Gift,New,96.36,1,58,1
2010-12-01,Cyprus,Stationery & Crafts,New,61.15,1,26,1
2010-12-01,Cyprus,Storage & Organization,New,78.45,1,35,1
2010-12-01,Denmark,Fees & Adjustments,New,144.0,1,8,1
2010-12-01,Denmark,Home Decor & Lighting,New,715.5,1,370,1
2010-12-01,Denmark,Kitchen & Dining,New,25.5,1,6,1
2010-12-01,Denmark,Miscellaneous,New,149.3,1,14,1
2010-12-01,Denmark,Storage & Organization,New,232.2,1,44,1
2010-12-01,Denmark,Toys & Kids,New,15.0,1,12,1
2010-12-01,EIRE,Accessories & Fashion,New,30.0,1,24,1
2010-12-01,EIRE,Fees & Adjustments,New,300.0,6,6,2
2010-12-01,EIRE,Fees & Adjustments,Unknown,50.0,1,1,0
2010-12-01,EIRE,Garden & Outdoor,New,236.70000000000002,3,66,1
2010-12-01,EIRE,Holiday & Seasonal,New,822.55,4,773,1
2010-12-01,EIRE,Holiday & Seasonal,Unknown,50.400000000000006,1,24,0
2010-12-01,EIRE,Home Decor & Lighting,New,2132.29,12,865,2
2010-12-01,EIRE,Home Decor & Lighting,Unknown,510.90000000000003,2,170,0
2010-12-01,EIRE,Kitchen & Dining,New,1829.4,9,572,2
2010-12-01,EIRE,Kitchen & Dining,Unknown,337.9,2,122,0
2010-12-01,EIRE,Miscellaneous,New,1902.64,10,2035,3
2010-12-01,EIRE,Miscellaneous,Unknown,143.58,2,78,0
2010-12-01,EIRE,Party & Gift,New,66.6,2,84,1
2010-12-01,EIRE,Stationery & Crafts,New,484.2,6,350,2
