customer_id,first_purchase_date,last_purchase_date,orders,total_units,monetary_value,primary_country,recency_days,tenure_days,avg_order_value,r_score,f_score,m_score,rfm_score,rfm_segment
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,77183.6,United Kingdom,326,326,77183.6,1,1,5,115,Hibernating
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,2458,4310.0,Iceland,2,367,615.7142857142857,5,5,5,555,Champions
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,2341,1797.24,Finland,75,358,449.31,2,4,4,244,At Risk
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,1757.55,Italy,19,19,1757.55,4,1,4,414,Big Spenders
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,334.4,Norway,310,310,334.4,1,1,2,112,Hibernating
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,536,2506.04,Norway,36,297,313.255,3,5,5,355,Loyal Customers
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,89.0,Bahrain,204,204,89.0,1,1,1,111,Hibernating
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,Spain,232,232,1079.4,1,1,4,114,Hibernating
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,459.4,Bahrain,214,214,459.4,1,1,2,112,Hibernating
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,1591,2811.43,Portugal,23,326,937.1433333333333,4,3,5,435,Potential Loyalists
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,6207.67,Switzerland,33,33,6207.67,3,1,5,315,Big Spenders
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,248,1168.06,Austria,2,151,584.03,5,2,4,524,Potential Loyalists
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,1622,6372.58,Cyprus,58,332,1593.145,3,4,5,345,Loyal Customers
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,1165,2662.06,Austria,52,201,887.3533333333334,3,3,5,335,Big Spenders
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,91,189.9,Belgium,287,287,189.9,1,1,1,111,Hibernating
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,2229,5226.23,Belgium,3,296,522.6229999999999,5,5,5,555,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,Unspecified,110,242,276.0,2,2,3,223,Hibernating
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1506,1313.1,Belgium,8,112,328.275,5,4,4,544,Champions
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,2,174,641.38,Cyprus,291,291,320.69,1,2,3,123,Hibernating
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,168.9,Denmark,4,4,168.9,5,1,1,511,New Customers
12370,2010-12-14 12:58:00,2011-10-19 14:51:00,4,2353,3545.69,Cyprus,51,360,886.4225,3,4,5,345,Loyal Customers
12371,2011-10-11 10:43:00,2011-10-26 10:16:00,2,591,1887.96,Switzerland,45,60,943.98,3,2,4,324,Big Spenders
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,794,1298.04,Denmark,72,297,432.68,2,3,4,234,At Risk
12373,2011-02-01 13:10:00,2011-02-01 13:10:00,1,197,364.6,Austria,311,311,364.6,1,1,2,112,Hibernating
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,342,742.9300000000001,Austria,25,25,742.9300000000001,4,1,3,413,Promising
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,178,457.5,Finland,11,98,228.75,5,2,2,522,Potential Loyalists
12377,2010-12-20 09:37:00,2011-01-28 15:45:00,2,944,1628.12,Switzerland,315,355,814.06,1,2,4,124,Hibernating
12378,2011-08-02 10:34:00,2011-08-02 10:34:00,1,2529,4008.62,Switzerland,130,130,4008.62,2,1,5,215,Hibernating
12379,2011-06-22 16:32:00,2011-09-19 10:09:00,2,407,852.24,Belgium,82,170,426.12,2,2,3,223,Hibernating
12380,2011-06-07 09:49:00,2011-11-18 11:27:00,4,1127,2724.81,Belgium,22,186,681.2025,4,4,5,445,Champions
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,5,808,1845.31,Norway,5,120,369.062,5,4,4,544,Champions
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1532,1850.56,Belgium,185,352,370.11199999999997,1,4,4,144,At Risk
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,126,585.27,Switzerland,29,122,292.635,4,2,3,423,Potential Loyalists
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,354,401.9,Australia,338,367,200.95,1,2,2,122,Hibernating
12388,2011-01-17 11:12:00,2011-11-24 12:30:00,6,1462,2780.66,Australia,16,327,463.4433333333333,4,4,5,445,Champions
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,353,549.84,Belgium,80,80,549.84,2,1,3,213,Hibernating
12391,2011-11-18 12:07:00,2011-11-18 12:07:00,1,300,460.89,Cyprus,22,22,460.89,4,1,2,412,Promising
12393,2011-01-11 09:47:00,2011-09-28 15:41:00,4,816,1582.6000000000001,Australia,72,333,395.65000000000003,2,4,4,244,At Risk
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,819,1272.48,Belgium,64,217,636.24,3,2,4,324,Big Spenders
12395,2010-12-03 16:35:00,2011-11-20 15:21:00,12,2118,3018.63,Belgium,19,371,251.5525,4,5,5,455,Champions
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,1263,2409.9,Belgium,36,135,1204.95,3,2,5,325,Big Spenders
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1394,1635.6599999999999,Switzerland,46,46,1635.6599999999999,3,1,4,314,Big Spenders
