stock_code,description,product_category,line_type,unit_price
10002,INFLATABLE POLITICAL GLOBE,Miscellaneous,Merchandise,0.85
10080,GROOVY CACTUS INFLATABLE,Miscellaneous,Merchandise,0.39
10120,DOGGY RUBBER,Miscellaneous,Merchandise,0.21
10123C,HEARTS WRAPPING TAPE,Home Decor & Lighting,Merchandise,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,Miscellaneous,Merchandise,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,Miscellaneous,Merchandise,0.42
10125,MINI FUNKY DESIGN TAPES,Home Decor & Lighting,Merchandise,0.85
10133,COLOURING PENCILS BROWN TUBE,Stationery & Crafts,Merchandise,0.79
10135,COLOURING PENCILS BROWN TUBE,Stationery & Crafts,Merchandise,1.25
11001,ASSTD DESIGN RACING CAR PEN,Home Decor & Lighting,Merchandise,1.69
15030,FAN BLACK FRAME,Home Decor & Lighting,Merchandise,0.29
15034,PAPER POCKET TRAVELING FAN,Stationery & Crafts,Merchandise,0.14
15036,ASSORTED COLOURS SILK FAN,Miscellaneous,Merchandise,0.83
15039,SANDALWOOD FAN,Miscellaneous,Merchandise,1.63
15044A,PINK PAPER PARASOL,Stationery & Crafts,Merchandise,2.95
15044B,BLUE PAPER PARASOL,Stationery & Crafts,Merchandise,2.95
15044C,PURPLE PAPER PARASOL,Stationery & Crafts,Merchandise,2.95
15044D,RED PAPER PARASOL,Stationery & Crafts,Merchandise,2.95
15056BL,EDWARDIAN PARASOL BLACK,Garden & Outdoor,Merchandise,5.95
15056N,EDWARDIAN PARASOL NATURAL,Garden & Outdoor,Merchandise,5.95
15056P,EDWARDIAN PARASOL PINK,Garden & Outdoor,Merchandise,5.95
15058A,BLUE POLKADOT GARDEN PARASOL,Garden & Outdoor,Merchandise,7.95
15058B,PINK POLKADOT GARDEN PARASOL,Garden & Outdoor,Merchandise,10.79
15058C,ICE CREAM DESIGN GARDEN PARASOL,Home Decor & Lighting,Merchandise,10.79
15060B,FAIRY CAKE DESIGN UMBRELLA,Home Decor & Lighting,Merchandise,3.75
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Miscellaneous,Merchandise,0.12
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Miscellaneous,Merchandise,0.12
16011,ANIMAL STICKERS,Stationery & Crafts,Merchandise,0.21
16012,FOOD/DRINK SPONGE STICKERS,Stationery & Crafts,Merchandise,0.21
16014,SMALL CHINESE STYLE SCISSOR,Miscellaneous,Merchandise,0.42
16015,MEDIUM CHINESE STYLE SCISSOR,Miscellaneous,Merchandise,0.5
16016,LARGE CHINESE STYLE SCISSOR,Miscellaneous,Merchandise,0.85
16020C,CLEAR STATIONERY BOX SET,Storage & Organization,Merchandise,0.83
16033,MINI HIGHLIGHTER PENS,Home Decor & Lighting,Merchandise,0.12
16043,POP ART PUSH DOWN RUBBER,Miscellaneous,Merchandise,0.12
16045,POPART WOODEN PENCILS ASST,Stationery & Crafts,Merchandise,0.04
16046,TEATIME PEN CASE & PENS,Kitchen & Dining,Merchandise,0.85
16048,TEATIME ROUND PENCIL SHARPENER,Kitchen & Dining,Merchandise,0.12
16049,TEATIME GEL PENS ASST,Kitchen & Dining,Merchandise,0.12
16052,TEATIME PUSH DOWN RUBBER,Kitchen & Dining,Merchandise,0.83
16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Crafts,Merchandise,0.12
16151A,FLOWERS HANDBAG blue and orange,Storage & Organization,Merchandise,1.25
16156L,"WRAP, CAROUSEL",Stationery & Crafts,Merchandise,0.42
16156S,WRAP PINK FAIRY CAKES,Stationery & Crafts,Merchandise,0.42
16161G,WRAP BAD HAIR DAY,Stationery & Crafts,Merchandise,0.1
16161M,WRAP  PINK FLOCK,Stationery & Crafts,Merchandise,0.42
16161P,WRAP ENGLISH ROSE,Stationery & Crafts,Merchandise,0.42
16161U,WRAP SUKI AND FRIENDS,Stationery & Crafts,Merchandise,0.42
16162L,THE KING GIFT BAG,Storage & Organization,Merchandise,0.65
16162M,THE KING GIFT BAG 25x24x12cm,Storage & Organization,Merchandise,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Storage & Organization,Merchandise,0.83
16169E,WRAP 50'S  CHRISTMAS,Holiday & Seasonal,Merchandise,0.42
16169K,WRAP FOLK ART,Stationery & Crafts,Merchandise,0.42
16169M,WRAP DAISY CARPET,Stationery & Crafts,Merchandise,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,Stationery & Crafts,Merchandise,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,Stationery & Crafts,Merchandise,0.42
16202A,PASTEL PINK PHOTO ALBUM,Miscellaneous,Merchandise,0.5
16202B,PASTEL BLUE PHOTO ALBUM,Miscellaneous,Merchandise,0.5
16202E,BLACK PHOTO ALBUM,Miscellaneous,Merchandise,0.5
16206B,RED PURSE WITH PINK HEART,Home Decor & Lighting,Merchandise,1.25
16207A,PINK STRAWBERRY HANDBAG,Storage & Organization,Merchandise,2.46
16207B,PINK HEART RED HANDBAG,Home Decor & Lighting,Merchandise,2.46
16216,LETTER SHAPE PENCIL SHARPENER,Stationery & Crafts,Merchandise,0.06
16218,CARTOON  PENCIL SHARPENERS,Stationery & Crafts,Merchandise,0.06
16219,HOUSE SHAPE PENCIL SHARPENER,Stationery & Crafts,Merchandise,0.83
16225,RATTLE SNAKE EGGS,Miscellaneous,Merchandise,1.25
16235,RECYCLED PENCIL WITH RABBIT ERASER,Stationery & Crafts,Merchandise,0.42
16236,KITTY PENCIL ERASERS,Stationery & Crafts,Merchandise,0.21
16237,SLEEPING CAT ERASERS,Miscellaneous,Merchandise,0.21
16238,PARTY TIME PENCIL ERASERS,Stationery & Crafts,Merchandise,0.21
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Miscellaneous,Merchandise,1.225
16248B,BLUE HOLE PUNCH,Miscellaneous,Merchandise,1.25
